source,feature,numeric_feature,recommended_incremental,anchor_missing_fraction_all,classification,rationale,exact_base_overlap,formula_or_derived_relationship
macro_audit_only,VIXCLS_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,VIXCLS_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS3MO_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS2_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DGS10_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLH0A0HYM2_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_source_missing,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_value_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_value_source_row,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_value,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_first_available_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_carry_age_calendar_days,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_carry_age_spy_sessions,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,BAMLC0A0CM_reason_code,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_source_observation_date,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_source_value_raw,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
macro_audit_only,DTWEXBGS_source_value_numeric,False,False,,exclude_audit_or_metadata,"raw/provenance/carry/reason metadata; retained for audit, not model input",False,False
