sample_id,security_id,Instrument,formation_session,split,reference_session,p_up
b04775e4f90cfbeaed0332c9,INTC.OQ,INTC.OQ,2021-01-06,validation,2021-01-05,0.5479401546287639
0fb3a23938c6194f7251262a,IRM.N,IRM.N,2021-01-06,validation,2021-01-05,0.6229360491857654
3a0475cb493f8d56f60fc059,ISRG.OQ,ISRG.OQ,2021-01-06,validation,2021-01-05,0.6160415464599325
319ba47df5e126ac794c84d9,JCI.N,JCI.N,2021-01-06,validation,2021-01-05,0.566961669491891
a975b7d309f0ce29ad3a5e2c,JNPR.N^G25,JNPR.N^G25,2021-01-06,validation,2021-01-05,0.5572735955246683
cd0fcbd565084f0d0885e115,META.OQ,META.OQ,2021-01-06,validation,2021-01-05,0.648766130130968
ebefce50c455a1ea4aa8db61,MSFT.OQ,MSFT.OQ,2021-01-06,validation,2021-01-05,0.6874111971303011
28f17a48528b4edeacb729d2,MU.OQ,MU.OQ,2021-01-06,validation,2021-01-05,0.5877423685063792
764fceab877ec7d82a38ab3c,NOW.N,NOW.N,2021-01-06,validation,2021-01-05,0.6203106056400226
7cc3afb498ce8640912add2b,NTAP.OQ,NTAP.OQ,2021-01-06,validation,2021-01-05,0.6769043336985742
08f893399837274bb6997f09,NVDA.OQ,NVDA.OQ,2021-01-06,validation,2021-01-05,0.6319859019259727
035d7833fb712a6c93f41985,ORCL.N,ORCL.N,2021-01-06,validation,2021-01-05,0.7132076106122327
6854a6d25ff52291b10ee258,QCOM.OQ,QCOM.OQ,2021-01-06,validation,2021-01-05,0.5910947365271816
5dea8da422fc13874fbfeb5e,ROK.N,ROK.N,2021-01-06,validation,2021-01-05,0.5898711215810031
5a8857459a094a5dd7f7fe99,SNPS.OQ,SNPS.OQ,2021-01-06,validation,2021-01-05,0.5906240379218276
333b1ae64af9e1e0c1ba29ef,STX.OQ,STX.OQ,2021-01-06,validation,2021-01-05,0.6863129728978553
0bf0517713229aa1ea5addb0,TER.OQ,TER.OQ,2021-01-06,validation,2021-01-05,0.6278165886825512
62698ab706e4477bb57382c3,TSLA.OQ,TSLA.OQ,2021-01-06,validation,2021-01-05,0.703975759707632
7c5efe26e87d33edef806693,TT.N,TT.N,2021-01-06,validation,2021-01-05,0.5958270964478325
379ae860d5592a42c9a00555,TXN.OQ,TXN.OQ,2021-01-06,validation,2021-01-05,0.621853070359968
